Borough,Ethnicity,Total_Residents
Redbridge,Asian Indian,51198
Richmond upon Thames,Asian Indian,7248
Southwark,Asian Indian,6136
Sutton,Asian Indian,12611
Tower Hamlets,Asian Indian,10109
Waltham Forest,Asian Indian,9111
Wandsworth,Asian Indian,9593
Westminster,Asian Indian,7972
Barking and Dagenham,Asian Pakistani,15789
Barnet,Asian Pakistani,6708
Bexley,Asian Pakistani,1399
Brent,Asian Pakistani,15199
Bromley,Asian Pakistani,1780
Camden,Asian Pakistani,1603
City of London,Asian Pakistani,32
Croydon,Asian Pakistani,15346
Ealing,Asian Pakistani,16715
Enfield,Asian Pakistani,3650
Greenwich,Asian Pakistani,3555
Hackney,Asian Pakistani,2465
Hammersmith and Fulham,Asian Pakistani,2001
Haringey,Asian Pakistani,2156
Harrow,Asian Pakistani,10278
Havering,Asian Pakistani,5678
Hillingdon,Asian Pakistani,14233
Hounslow,Asian Pakistani,17443
Islington,Asian Pakistani,996
Kensington and Chelsea,Asian Pakistani,1276
Kingston upon Thames,Asian Pakistani,4391
Lambeth,Asian Pakistani,3865
Lewisham,Asian Pakistani,2345
Merton,Asian Pakistani,9652
Newham,Asian Pakistani,31217
Redbridge,Asian Pakistani,43992
Richmond upon Thames,Asian Pakistani,1766
Southwark,Asian Pakistani,2012
Sutton,Asian Pakistani,6191
Tower Hamlets,Asian Pakistani,3338
Waltham Forest,Asian Pakistani,28745
Wandsworth,Asian Pakistani,12262
Westminster,Asian Pakistani,2476
Barking and Dagenham,Asian Other,5514
Barnet,Asian Other,25591
Bexley,Asian Other,6354
Brent,Asian Other,24570
Bromley,Asian Other,6381
Camden,Asian Other,8389
City of London,Asian Other,259
Croydon,Asian Other,16118
Ealing,Asian Other,31523
Enfield,Asian Other,11607
Greenwich,Asian Other,14833
Hackney,Asian Other,5588
Hammersmith and Fulham,Asian Other,7665
Haringey,Asian Other,6419
Harrow,Asian Other,28558
Havering,Asian Other,4400
Hillingdon,Asian Other,23136
Hounslow,Asian Other,22191
Islington,Asian Other,5396
Kensington and Chelsea,Asian Other,7212
Kingston upon Thames,Asian Other,12769
Lambeth,Asian Other,5623
Lewisham,Asian Other,11401
Merton,Asian Other,14655
Newham,Asian Other,16429
Redbridge,Asian Other,16835
Richmond upon Thames,Asian Other,4803
Southwark,Asian Other,8437
Sutton,Asian Other,12212
Tower Hamlets,Asian Other,6759
Waltham Forest,Asian Other,9878
Wandsworth,Asian Other,10143
Westminster,Asian Other,9661
Barking and Dagenham,Black African,35093
Barnet,Black African,22651
Bexley,Black African,23241
Brent,Black African,31088
Bromley,Black African,13208
Camden,Black African,14206
City of London,Black African,150
Croydon,Black African,40228
Ealing,Black African,22590
Enfield,Black African,36462
Greenwich,Black African,44196
Hackney,Black African,29480
Hammersmith and Fulham,Black African,13257
Haringey,Black African,24865
Harrow,Black African,10595
Havering,Black African,14136
Hillingdon,Black African,15827
Hounslow,Black African,14891
Islington,Black African,18064
Kensington and Chelsea,Black African,6944
Kingston upon Thames,Black African,3093
Lambeth,Black African,37360
Lewisham,Black African,37844
Merton,Black African,12217
Newham,Black African,40885
Redbridge,Black African,14609
Richmond upon Thames,Black African,2265
Southwark,Black African,48325
Sutton,Black African,7436
Tower Hamlets,Black African,15383
Waltham Forest,Black African,18764
Wandsworth,Black African,17320
Westminster,Black African,10456
Barking and Dagenham,Black Caribbean,5840
Barnet,Black Caribbean,4946
Bexley,Black Caribbean,3236
Brent,Black Caribbean,21266
Bromley,Black Caribbean,8142
Camden,Black Caribbean,2686
City of London,Black Caribbean,54
Croydon,Black Caribbean,36094
Ealing,Black Caribbean,12893
Enfield,Black Caribbean,16996
Greenwich,Black Caribbean,8722
Hackney,Black Caribbean,17896
Hammersmith and Fulham,Black Caribbean,6653
Haringey,Black Caribbean,16339
Harrow,Black Caribbean,6533
Havering,Black Caribbean,4816
Hillingdon,Black Caribbean,5745
Hounslow,Black Caribbean,3574
Islington,Black Caribbean,7359
Kensington and Chelsea,Black Caribbean,3231
Kingston upon Thames,Black Caribbean,1083
Lambeth,Black Caribbean,28996
Lewisham,Black Caribbean,31889
Merton,Black Caribbean,7636
Newham,Black Caribbean,13547
Redbridge,Black Caribbean,8482
Richmond upon Thames,Black Caribbean,950
Southwark,Black Caribbean,18155
Sutton,Black Caribbean,3447
Tower Hamlets,Black Caribbean,4914
Waltham Forest,Black Caribbean,17579
Wandsworth,Black Caribbean,11347
Westminster,Black Caribbean,4305
Barking and Dagenham,Black Other,5867
Barnet,Black Other,3026
Bexley,Black Other,3576
Brent,Black Other,7178
Bromley,Black Other,3788
Camden,Black Other,1992
City of London,Black Other,26
Croydon,Black Other,12102
Ealing,Black Other,4018
Enfield,Black Other,7033
Greenwich,Black Other,7691
Hackney,Black Other,7240
Hammersmith and Fulham,Black Other,2615
Haringey,Black Other,5300
Harrow,Black Other,2067
Havering,Black Other,2596
Hillingdon,Black Other,2378
Hounslow,Black Other,2341
Islington,Black Other,3283
Kensington and Chelsea,Black Other,1103
Kingston upon Thames,Black Other,537
Lambeth,Black Other,9789
Lewisham,Black Other,10730
Merton,Black Other,3043
Newham,Black Other,6843
Redbridge,Black Other,3062
Richmond upon Thames,Black Other,487
Southwark,Black Other,10817
Sutton,Black Other,1587
Tower Hamlets,Black Other,2390
Waltham Forest,Black Other,5293
Wandsworth,Black Other,4339
Westminster,Black Other,1703
Barking and Dagenham,Other Arab,1493
Barnet,Other Arab,7374
Bexley,Other Arab,534
Brent,Other Arab,17921
Bromley,Other Arab,1207
Camden,Other Arab,4412
City of London,Other Arab,113
Croydon,Other Arab,2272
Ealing,Other Arab,16098
Enfield,Other Arab,2534
Greenwich,Other Arab,1455
Hackney,Other Arab,2343
Hammersmith and Fulham,Other Arab,5523
Haringey,Other Arab,2545
Harrow,Other Arab,6238
Havering,Other Arab,804
Hillingdon,Other Arab,4463
Hounslow,Other Arab,5476
Islington,Other Arab,2999
Kensington and Chelsea,Other Arab,6358
Kingston upon Thames,Other Arab,3569
Lambeth,Other Arab,2635
Lewisham,Other Arab,1668
Merton,Other Arab,1919
Newham,Other Arab,3541
Redbridge,Other Arab,2260
Richmond upon Thames,Other Arab,1714
Southwark,Other Arab,3139
Sutton,Other Arab,1393
Tower Hamlets,Other Arab,3588
Waltham Forest,Other Arab,2867
Wandsworth,Other Arab,3847
Westminster,Other Arab,15432
Barking and Dagenham,Other Any other,6395
Barnet,Other Any other,30722
Bexley,Other Any other,5545
Brent,Other Any other,15944
Bromley,Other Any other,6272
Camden,Other Any other,9795
City of London,Other Any other,369
Croydon,Other Any other,12836
Ealing,Other Any other,22661
Enfield,Other Any other,37525
Greenwich,Other Any other,10667
Hackney,Other Any other,20067
Hammersmith and Fulham,Other Any other,7881
Haringey,Other Any other,23038
Harrow,Other Any other,12625
Havering,Other Any other,4481
Hillingdon,Other Any other,14802
Hounslow,Other Any other,15470
Islington,Other Any other,12331
Kensington and Chelsea,Other Any other,7769
Kingston upon Thames,Other Any other,5959
Lambeth,Other Any other,15414
Lewisham,Other Any other,12471
Merton,Other Any other,7983
Newham,Other Any other,13614
Redbridge,Other Any other,14362
Richmond upon Thames,Other Any other,4626
Southwark,Other Any other,16300
Sutton,Other Any other,5680
Tower Hamlets,Other Any other,8501
Waltham Forest,Other Any other,13355
Wandsworth,Other Any other,9575
Westminster,Other Any other,12011
